SITE_NAME;BEGIN;END;KWH_PERIOD;PERIOD_EUR;period;daily_consumption_EUR;daily_consumption_KWH;bills
0001BB;2018-01-01;2018-01-31;2447;316.46;30;10.548666666666666;81.56666666666666;35
0001BB;2018-02-01;2018-02-28;2211;286.82;27;10.622962962962962;81.88888888888889;35
0001BB;2018-03-01;2018-03-31;2450;317.32;30;10.577333333333334;81.66666666666667;35
0001BB;2018-04-01;2018-04-30;2431;315.0;29;10.862068965517242;83.82758620689656;35
0001BB;2018-05-01;2018-05-31;2574;333.37;30;11.112333333333334;85.8;35
0001BB;2018-06-01;2018-06-30;2830;365.27;29;12.59551724137931;97.58620689655173;35
0001BB;2018-07-01;2018-07-31;3028;390.39;30;13.013;100.93333333333334;35
0001BB;2018-08-01;2018-08-31;3053;393.99;30;13.133000000000001;101.76666666666667;35
0001BB;2018-09-01;2018-09-30;2915;378.35;29;13.046551724137931;100.51724137931035;35
0001BB;2018-10-01;2018-10-31;2986;387.05;30;12.901666666666667;99.53333333333333;35
0001BB;2018-11-01;2018-11-30;2871;372.47;29;12.843793103448277;99.0;35
0001BB;2018-12-01;2018-12-31;3086;399.3;30;13.31;102.86666666666666;35
0001BB;2019-01-01;2019-01-31;3094;381.4;30;12.713333333333333;103.13333333333334;35
0001BB;2019-02-01;2019-02-28;2767;345.87;27;12.81;102.48148148148148;35
0001BB;2019-03-01;2019-03-31;3059;378.18;30;12.606;101.96666666666667;35
0001BB;2019-04-01;2019-04-30;2761;340.84;29;11.753103448275862;95.20689655172414;35
0001BB;2019-05-01;2019-05-31;2844;349.26;30;11.642;94.8;35
0001BB;2019-06-01;2019-06-30;3009;369.19;29;12.730689655172414;103.75862068965517;35
0001BB;2019-07-01;2019-07-31;3016;371.2;30;12.373333333333333;100.53333333333333;35
0001BB;2019-08-01;2019-08-31;3089;380.42;30;12.680666666666667;102.96666666666667;35
0001BB;2019-09-01;2019-09-30;2914;361.36;29;12.460689655172414;100.48275862068965;35
0001BB;2019-10-01;2019-10-31;2963;366.7;30;12.223333333333333;98.76666666666667;35
0001BB;2019-11-01;2019-11-30;2797;345.89;29;11.927241379310344;96.44827586206897;35
0001BB;2019-12-01;2019-12-31;2859;353.08;30;11.769333333333332;95.3;35
0001BB;2020-01-01;2020-01-31;2863;414.93;30;13.831;95.43333333333334;35
0001BB;2020-02-01;2020-02-29;2663;387.22;28;13.829285714285716;95.10714285714286;35
0001BB;2020-03-01;2020-03-31;2759;403.25;30;13.441666666666666;91.96666666666667;35
0001BB;2020-04-01;2020-04-30;2680;390.79;29;13.475517241379311;92.41379310344827;35
0001BB;2020-05-01;2020-05-31;2797;407.48;30;13.582666666666666;93.23333333333333;35
0001BB;2020-06-01;2020-06-30;2796;407.77;29;14.06103448275862;96.41379310344827;35
0001BB;2020-07-01;2020-07-31;2952;429.09;30;14.302999999999999;98.4;35
0001BB;2020-08-01;2020-08-31;3014;435.98;30;14.532666666666668;100.46666666666667;35
0001BB;2020-09-01;2020-09-30;2857;411.97;29;14.205862068965518;98.51724137931035;35
0001BB;2020-10-01;2020-10-31;2905;413.41;30;13.780333333333335;96.83333333333333;35
0001BB;2020-11-01;2020-11-30;2755;383.02;29;13.20758620689655;95.0;35
0001BR;2018-01-01;2018-01-31;2438;266.43;30;8.881;81.26666666666667;35
0001BR;2018-02-01;2018-02-28;2211;242.33;27;8.975185185185186;81.88888888888889;35
0001BR;2018-03-01;2018-03-31;2453;267.95;30;8.931666666666667;81.76666666666667;35
0001BR;2018-04-01;2018-04-30;2414;263.78;29;9.095862068965516;83.24137931034483;35
0001BR;2018-05-01;2018-05-31;2517;274.62;30;9.154;83.9;35
0001BR;2018-06-01;2018-06-30;2461;268.63;29;9.263103448275862;84.86206896551724;35
0001BR;2018-07-01;2018-07-31;2560;279.26;30;9.308666666666666;85.33333333333333;35
0001BR;2018-08-01;2018-08-31;2597;283.07;30;9.435666666666666;86.56666666666666;35
0001BR;2018-09-01;2018-09-30;2436;267.99;29;9.241034482758621;84.0;35
0001BR;2018-10-01;2018-10-31;2497;274.5;30;9.15;83.23333333333333;35
0001BR;2018-11-01;2018-11-30;2397;263.82;29;9.097241379310345;82.65517241379311;35
0001BR;2018-12-01;2018-12-31;2452;269.69;30;8.989666666666666;81.73333333333333;35
0001BR;2019-01-01;2019-01-31;2460;264.03;30;8.800999999999998;82.0;35
0001BR;2019-02-01;2019-02-28;2229;239.96;27;8.887407407407407;82.55555555555556;35
0001BR;2019-03-01;2019-03-31;2475;265.56;30;8.852;82.5;35
0001BR;2019-04-01;2019-04-30;2410;258.76;29;8.922758620689654;83.10344827586206;35
0001BR;2019-05-01;2019-05-31;2508;268.92;30;8.964;83.6;35
0001BR;2019-06-01;2019-06-30;2529;270.94;29;9.342758620689654;87.20689655172414;35
0001BR;2019-07-01;2019-07-31;2593;277.63;30;9.254333333333333;86.43333333333334;35
0001BR;2019-08-01;2019-08-31;2603;278.6;30;9.286666666666667;86.76666666666667;35
0001BR;2019-09-01;2019-09-30;2595;277.2;29;9.558620689655172;89.48275862068965;35
0001BR;2019-10-01;2019-10-31;2708;288.79;30;9.626333333333333;90.26666666666667;35
0001BR;2019-11-01;2019-11-30;2595;277.07;29;9.554137931034482;89.48275862068965;35
0001BR;2019-12-01;2019-12-31;2648;282.57;30;9.419;88.26666666666667;35
0001BR;2020-01-01;2020-01-31;2600;330.81;30;11.027;86.66666666666667;35
0001BR;2020-02-01;2020-02-29;2445;311.57;28;11.1275;87.32142857142857;35
0001BR;2020-03-01;2020-03-31;2609;330.32;30;11.010666666666667;86.96666666666667;35
0001BR;2020-04-01;2020-04-30;2629;332.7;29;11.472413793103447;90.65517241379311;35
0001BR;2020-05-01;2020-05-31;2735;345.77;30;11.525666666666666;91.16666666666667;35
0001BR;2020-06-01;2020-06-30;2687;339.78;29;11.716551724137931;92.65517241379311;35
0001BR;2020-07-01;2020-07-31;2854;360.33;30;12.011;95.13333333333334;35
0001BR;2020-08-01;2020-08-31;2886;364.21;30;12.140333333333333;96.2;35
0001BR;2020-09-01;2020-09-30;2761;348.79;29;12.027241379310345;95.20689655172414;35
0001BR;2020-10-01;2020-10-31;2802;353.9;30;11.796666666666665;93.4;35
0001BR;2020-11-01;2020-11-30;2677;338.44;29;11.670344827586208;92.3103448275862;35
0001KO;2018-01-01;2018-01-31;2179;268.53;30;8.950999999999999;72.63333333333334;35
0001KO;2018-02-01;2018-02-28;1971;243.47;27;9.017407407407408;73.0;35
0001KO;2018-03-01;2018-03-31;2191;269.98;30;8.999333333333334;73.03333333333333;35
0001KO;2018-04-01;2018-04-30;2370;291.55;29;10.053448275862069;81.72413793103448;35
0001KO;2018-05-01;2018-05-31;2647;324.92;30;10.830666666666668;88.23333333333333;35
0001KO;2018-06-01;2018-06-30;2634;323.35;29;11.15;90.82758620689656;35
0001KO;2018-07-01;2018-07-31;2799;343.43;30;11.447666666666667;93.3;35
0001KO;2018-08-01;2018-08-31;2908;356.57;30;11.885666666666667;96.93333333333334;35
0001KO;2018-09-01;2018-09-30;2483;307.29;29;10.596206896551724;85.62068965517241;35
0001KO;2018-10-01;2018-10-31;2297;284.72;30;9.490666666666668;76.56666666666666;35
0001KO;2018-11-01;2018-11-30;2130;264.46;29;9.119310344827586;73.44827586206897;35
0001KO;2018-12-01;2018-12-31;2489;308.02;30;10.267333333333333;82.96666666666667;35
0001KO;2019-01-01;2019-01-31;2679;364.03;30;12.134333333333332;89.3;35
0001KO;2019-02-01;2019-02-28;2429;330.63;27;12.245555555555555;89.96296296296296;35
0001KO;2019-03-01;2019-03-31;2648;359.89;30;11.996333333333332;88.26666666666667;35
0001KO;2019-04-01;2019-04-30;2478;337.18;29;11.626896551724139;85.44827586206897;35
0001KO;2019-05-01;2019-05-31;2535;344.79;30;11.493;84.5;35
0001KO;2019-06-01;2019-06-30;2884;391.43;29;13.497586206896552;99.44827586206897;35
0001KO;2019-07-01;2019-07-31;2872;389.82;30;12.994;95.73333333333333;35
0001KO;2019-08-01;2019-08-31;2978;403.99;30;13.466333333333333;99.26666666666667;35
0001KO;2019-09-01;2019-09-30;2529;343.99;29;11.861724137931034;87.20689655172414;35
0001KO;2019-10-01;2019-10-31;2487;338.38;30;11.279333333333334;82.9;35
0001KO;2019-11-01;2019-11-30;2384;324.62;29;11.193793103448275;82.20689655172414;35
0001KO;2019-12-01;2019-12-31;2463;335.17;30;11.172333333333334;82.1;35
0001KO;2020-01-01;2020-01-31;2454;331.9;30;11.063333333333333;81.8;35
0001KO;2020-02-01;2020-02-29;2377;321.7;28;11.489285714285714;84.89285714285714;35
0001KO;2020-03-01;2020-03-31;2596;350.71;30;11.690333333333333;86.53333333333333;35
0001KO;2020-04-01;2020-04-30;2675;365.4;29;12.6;92.24137931034483;35
0001KO;2020-05-01;2020-05-31;2781;375.22;30;12.507333333333333;92.7;35
0001KO;2020-06-01;2020-06-30;2989;402.77;29;13.888620689655172;103.06896551724138;35
0001KO;2020-07-01;2020-07-31;3322;446.89;30;14.896333333333333;110.73333333333333;35
0001KO;2020-08-01;2020-08-31;3109;418.67;30;13.955666666666668;103.63333333333334;35
0001KO;2020-09-01;2020-09-30;2911;392.44;29;13.532413793103448;100.37931034482759;35
0001KO;2020-10-01;2020-10-31;2747;370.72;30;12.357333333333335;91.56666666666666;35
0001KO;2020-11-01;2020-11-30;2625;354.55;29;12.225862068965517;90.51724137931035;35
0002BB;2018-01-01;2018-01-31;2376;310.46;30;10.348666666666666;79.2;35
0002BB;2018-02-01;2018-02-28;2160;283.07;27;10.484074074074075;80.0;35
0002BB;2018-03-01;2018-03-31;2390;313.01;30;10.433666666666666;79.66666666666667;35
0002BB;2018-04-01;2018-04-30;2378;311.8;29;10.751724137931035;82.0;35
0002BB;2018-05-01;2018-05-31;2529;330.93;30;11.031;84.3;35
0002BB;2018-06-01;2018-06-30;2790;363.65;29;12.539655172413791;96.20689655172414;35
0002BB;2018-07-01;2018-07-31;2988;388.77;30;12.959;99.6;35
0002BB;2018-08-01;2018-08-31;3019;393.19;30;13.106333333333334;100.63333333333334;35
0002BB;2018-09-01;2018-09-30;2873;376.62;29;12.986896551724138;99.06896551724138;35
0002BB;2018-10-01;2018-10-31;2940;384.79;30;12.826333333333334;98.0;35
0002BB;2018-11-01;2018-11-30;2821;369.46;29;12.739999999999998;97.27586206896552;35
0002BB;2018-12-01;2018-12-31;3029;395.45;30;13.181666666666667;100.96666666666667;35
0002BB;2019-01-01;2019-01-31;3033;378.02;30;12.600666666666665;101.1;35
0002BB;2019-02-01;2019-02-28;2684;339.51;27;12.574444444444444;99.4074074074074;35
0002BB;2019-03-01;2019-03-31;3008;376.16;30;12.538666666666668;100.26666666666667;35
0002BB;2019-04-01;2019-04-30;2663;332.01;29;11.448620689655172;91.82758620689656;35
0002BB;2019-05-01;2019-05-31;2741;339.86;30;11.328666666666667;91.36666666666666;35
0002BB;2019-06-01;2019-06-30;2952;364.23;29;12.559655172413795;101.79310344827586;35
0002BB;2019-07-01;2019-07-31;2914;363.68;30;12.122666666666667;97.13333333333334;35
0002BB;2019-08-01;2019-08-31;2965;368.84;30;12.294666666666666;98.83333333333333;35
0002BB;2019-09-01;2019-09-30;2819;352.21;29;12.145172413793103;97.20689655172414;35
0002BB;2019-10-01;2019-10-31;2927;364.86;30;12.162;97.56666666666666;35
0002BB;2019-11-01;2019-11-30;2773;346.35;29;11.943103448275863;95.62068965517241;35
0002BB;2019-12-01;2019-12-31;2822;351.9;30;11.729999999999999;94.06666666666666;35
0002BB;2020-01-01;2020-01-31;2830;406.02;30;13.533999999999999;94.33333333333333;35
0002BB;2020-02-01;2020-02-29;2625;378.86;28;13.530714285714286;93.75;35
0002BB;2020-03-01;2020-03-31;2734;396.33;30;13.211;91.13333333333334;35
0002BB;2020-04-01;2020-04-30;2644;382.45;29;13.187931034482759;91.17241379310344;35
0002BB;2020-05-01;2020-05-31;2753;397.69;30;13.256333333333334;91.76666666666667;35
0002BB;2020-06-01;2020-06-30;2763;399.57;29;13.778275862068964;95.27586206896552;35
0002BB;2020-07-01;2020-07-31;2904;418.43;30;13.947666666666667;96.8;35
0002BB;2020-08-01;2020-08-31;2962;425.38;30;14.179333333333334;98.73333333333333;35
0002BB;2020-09-01;2020-09-30;2828;406.82;29;14.028275862068964;97.51724137931035;35
0002BB;2020-10-01;2020-10-31;2875;412.79;30;13.759666666666668;95.83333333333333;35
0002BB;2020-11-01;2020-11-30;2739;381.14;29;13.142758620689655;94.44827586206897;35
0002BR;2018-01-01;2018-01-31;2187;239.96;30;7.998666666666667;72.9;35
0002BR;2018-02-01;2018-02-28;1985;218.51;27;8.092962962962963;73.51851851851852;35
0002BR;2018-03-01;2018-03-31;2209;242.16;30;8.072;73.63333333333334;35
0002BR;2018-04-01;2018-04-30;2151;235.47;29;8.119655172413793;74.17241379310344;35
0002BR;2018-05-01;2018-05-31;2251;245.79;30;8.193;75.03333333333333;35
0002BR;2018-06-01;2018-06-30;2207;241.0;29;8.310344827586206;76.10344827586206;35
0002BR;2018-07-01;2018-07-31;2290;249.83;30;8.327666666666667;76.33333333333333;35
0002BR;2018-08-01;2018-08-31;2316;252.45;30;8.415;77.2;35
0002BR;2018-09-01;2018-09-30;2172;239.1;29;8.244827586206897;74.89655172413794;35
0002BR;2018-10-01;2018-10-31;2216;244.03;30;8.134333333333334;73.86666666666666;35
0002BR;2018-11-01;2018-11-30;2313;254.38;29;8.771724137931034;79.75862068965517;35
0002BR;2018-12-01;2018-12-31;2659;290.96;30;9.698666666666666;88.63333333333334;35
0002BR;2019-01-01;2019-01-31;2662;284.26;30;9.475333333333333;88.73333333333333;35
0002BR;2019-02-01;2019-02-28;2409;257.94;27;9.553333333333333;89.22222222222223;35
0002BR;2019-03-01;2019-03-31;2707;288.61;30;9.620333333333333;90.23333333333333;35
0002BR;2019-04-01;2019-04-30;2624;279.83;29;9.649310344827585;90.48275862068965;35
0002BR;2019-05-01;2019-05-31;2715;289.18;30;9.639333333333333;90.5;35
0002BR;2019-06-01;2019-06-30;2741;291.44;29;10.049655172413793;94.51724137931035;35
0002BR;2019-07-01;2019-07-31;2812;298.72;30;9.957333333333334;93.73333333333333;35
0002BR;2019-08-01;2019-08-31;2537;269.82;30;8.994;84.56666666666666;35
0002BR;2019-09-01;2019-09-30;2414;257.19;29;8.868620689655172;83.24137931034483;35
0002BR;2019-10-01;2019-10-31;2489;265.07;30;8.835666666666667;82.96666666666667;35
0002BR;2019-11-01;2019-11-30;2410;257.13;29;8.866551724137931;83.10344827586206;35
0002BR;2019-12-01;2019-12-31;2493;265.86;30;8.862;83.1;35
0002BR;2020-01-01;2020-01-31;2513;319.43;30;10.647666666666668;83.76666666666667;35
0002BR;2020-02-01;2020-02-29;2400;305.19;28;10.899642857142856;85.71428571428571;35
0002BR;2020-03-01;2020-03-31;2646;333.77;30;11.125666666666666;88.2;35
